This query existed in database! 
Original GraphCodeBERT won! (augment top-K vs original top-K: 2 vs 1)
Key: 3968
CacheID: 7293
Query: public static String padLeft(String str,int totalChars){ _EL_   if (str == null)   str="null"; _EL_   StringBuilder sb=new StringBuilder(); _EL_   for (int i=0; i < totalChars - str.length(); i++) { _EL_     sb.append(" "); _EL_   } _EL_   sb.append(str); _EL_   return sb.toString(); _EL_ } _EL_ 
Candidate (Original):
CodeID	IndexInDatabase	isCorrect	CandText
1	3963	False	prefix one of the registered nouns with an expression like " piece of " .
2	3964	False	clears the password expiration warned time .
3	3965	False	returns a locale with the most - specific field removed , or null if this locale had an empty language , country and variant .
4	3966	False	append a representation of the time zone of ' calendar ' to ' buffer ' .
5	3967	False	remove listeners , believing that our bould flags are accurate and it removes only as declared .
6	3968	True	pads the given string to the left with spaces to ensure that it ' s at least totalchars long .
7	3969	False	set whether to show scores on the plot lines
8	3970	False	writes a charsequence to a file creating the file if it does not exist using the default encoding for the vm .
9	3971	False	the kernel helper function , called k ' in [ 1 ] and [ 2 ] .
10	3972	False	gets connection from a pool .
11	3973	False	emits a method to clear a list or map .

Results:
Org-Rank	Org-Score	Org-ID	Aug-Rank	Aug-Score	Aug-ID
1	7.688387235066501	6 (correct)	1	7.920515817110885	4
2	7.694205419068093	4	2	7.9343969102048675	6 (correct)
3	8.0397894741136	11	3	8.286833732776595	11
4	8.082953140115485	10	4	8.405128667687723	10
5	8.416341896328127	7	5	8.693498869291998	8
6	8.502753454533334	8	6	8.73364576101958	7
7	8.65945804065144	5	7	8.926259535982611	5
8	8.816004702465545	1	8	8.930075686088625	1
9	8.90616023251577	2	9	9.093827082404204	3
10	8.933254247549637	3	10	9.213144487488929	2
11	9.199409281818832	9	11	9.29516079970883	9



# Step 1 (get nl-pl embbedding (like GraphCodeBERT) of query and candidates with dimensions = 768):
