This query existed in database! 
GraphCodeBERT+PropMiner draws GraphCodeBERT! (augment top-K vs original top-K: 1 vs 1)
Key: 3450
CacheID: 3854
Query: static boolean verifyZipFile(File file){ _EL_   try { _EL_     ZipFile zipFile=new ZipFile(file); _EL_     try { _EL_       zipFile.close(); _EL_       return true; _EL_     } _EL_  catch (    IOException e) { _EL_       Log.w(TAG,"Failed to close zip file: " + file.getAbsolutePath()); _EL_     } _EL_   } _EL_  catch (  ZipException ex) { _EL_     Log.w(TAG,"File " + file.getAbsolutePath() + " is not a valid zip file.",ex); _EL_   } _EL_ catch (  IOException ex) { _EL_     Log.w(TAG,"Got an IOException trying to open zip file: " + file.getAbsolutePath(),ex); _EL_   } _EL_   return false; _EL_ } _EL_ 
Candidate (Original):
CodeID	IndexInDatabase	isCorrect	CandText
1	3445	False	flatten the trie into a byte array for a minimized memory footprint .
2	3446	False	records a dialogue state in the component and makes it available for display in the network selection list on the left side .
3	3447	False	returns the number of octets written .
4	3448	False	instantiates a new geo server wps client .
5	3449	False	creates the instance of ssl v3 connection state .
6	3450	True	returns whether the file is a valid zip file .
7	3451	False	performs maintenance on this pool , evicting the connection that has been idle the longest if either it has exceeded the keep alive limit or the idle connections limit .
8	3452	False	this is used to compare the expected and current versions of the class .
9	3453	False	generates a device - and invocation - specific seed to be mixed into the linux prng .
10	3454	False	return whether we need to check namespace prefixes against and exclude result prefixes list .
11	3455	False	decodes back a string to a byte array

Results:
Org-Rank	Org-Score	Org-ID	Aug-Rank	Aug-Score	Aug-ID
1	8.665614393810879	6 (correct)	1	8.809591936012454	6 (correct)
2	8.960724697419996	1	2	9.14966212810716	1
3	9.217351746442949	5	3	9.438417524624722	5
4	9.29102136888365	4	4	9.44574956594184	8
5	9.30842002912979	8	5	9.503217105415294	4
6	9.404264104717196	9	6	9.549790247564832	3
7	9.458592018437171	2	7	9.609911993687883	9
8	9.475923442100646	3	8	9.685317312108744	2
9	9.733539745584839	10	9	10.010227286308146	7
10	9.852564161024143	7	10	10.088970679242	10
11	10.811707708715181	11	11	10.93216243122805	11



# Step 1 (get nl-pl embbedding (like GraphCodeBERT) of query and candidates with dimensions = 768):
