This query existed in database! 
Original GraphCodeBERT won! (augment top-K vs original top-K: 2 vs 1)
Key: 5685
CacheID: 7365
Query: public void addAttribute(String alias,String typeUri,boolean required,int count) throws MessageException { _EL_   if (alias.indexOf(',') > -1 || alias.indexOf('.') > -1 || alias.indexOf(':') > -1 || alias.indexOf('\n') > -1)   throw new MessageException("Characters [.,:\\n] are not allowed in attribute aliases: " + alias); _EL_   _parameters.set(new Parameter("type." + alias,typeUri)); _EL_   String level=required ? "required" : "if_available"; _EL_   Parameter levelParam=_parameters.getParameter(level); _EL_   Parameter newParam; _EL_   if (levelParam == null) { _EL_     newParam=new Parameter(level,alias); _EL_   } _EL_  else { _EL_     newParam=new Parameter(level,levelParam.getValue() + "," + alias); _EL_     _parameters.removeParameters(level); _EL_   } _EL_   _parameters.set(newParam); _EL_   setCount(alias,count); _EL_   if (DEBUG)   _log.debug("Added new attribute to fetch request; type: " + typeUri + " alias: "+ alias+ " count: "+ count+ " required: "+ required); _EL_ } _EL_ 
Candidate (Original):
CodeID	IndexInDatabase	isCorrect	CandText
1	5680	False	deletes a given trait from an existing entity represented by a guid .
2	5681	False	adds the given tables .
3	5682	False	replace placeholder in template
4	5683	False	will clear the current classes and reload in another thread .
5	5684	False	searches the receiver ' s list starting at the first item ( index 0 ) until an item is found that is equal to the argument , and returns the index of that item .
6	5685	True	adds an attribute to the fetch request .
7	5686	False	outer callable submits tasks for execution .
8	5687	False	runs a full - import using the given dataconfig and the provided request parameters .
9	5688	False	generate a random user id in the range provided
10	5689	False	starts the underlying systemconsumer .
11	5690	False	sets the flags according to the result of a binary and / or / xor operation .

Results:
Org-Rank	Org-Score	Org-ID	Aug-Rank	Aug-Score	Aug-ID
1	6.749107735774197	6 (correct)	1	8.01785422552313	8
2	6.908278628035479	8	2	8.125842386371444	6 (correct)
3	7.036265508592766	2	3	8.533447647457791	2
4	7.131461086276197	10	4	8.776132426388493	11
5	7.341606432625147	4	5	9.03608182540898	1
6	7.379544155377738	11	6	9.152761807392098	4
7	7.604688511246131	5	7	9.218628450720091	5
8	7.780729374156508	1	8	9.318314505424857	10
9	7.801681124829807	7	9	9.454357000922073	7
10	9.520379083986935	3	10	10.449754446649909	3
11	10.535519015923528	9	11	11.592394220469544	9



# Step 1 (get nl-pl embbedding (like GraphCodeBERT) of query and candidates with dimensions = 768):
