This query existed in database! 
GraphCodeBERT+PropMiner won! (augment top-K vs original top-K: 5 vs 7)
Key: 3846
CacheID: 270
Query: public static Object[] putAll(){ _EL_   Region region=cache.getRegion(Region.SEPARATOR + REGION_NAME); _EL_   assertNotNull(region); _EL_   try { _EL_     Map map=new LinkedHashMap(); _EL_     map.put(PUTALL_KEY1,PUTALL_VALUE1); _EL_     map.put(PUTALL_KEY2,PUTALL_VALUE2); _EL_     map.put(PUTALL_KEY3,PUTALL_VALUE3); _EL_     map.put(PUTALL_KEY4,PUTALL_VALUE4); _EL_     map.put(PUTALL_KEY5,PUTALL_VALUE5); _EL_     region.putAll(map,"putAllCallbackArg"); _EL_     EventID[] evids=new EventID[5]; _EL_     evids[0]=putAlleventId1; _EL_     evids[1]=putAlleventId2; _EL_     evids[2]=putAlleventId3; _EL_     evids[3]=putAlleventId4; _EL_     evids[4]=putAlleventId5; _EL_     assertNotNull(evids[0]); _EL_     assertNotNull(evids[1]); _EL_     assertNotNull(evids[2]); _EL_     assertNotNull(evids[3]); _EL_     assertNotNull(evids[4]); _EL_     return evids; _EL_   } _EL_  catch (  Exception e) { _EL_     fail("put failed due to " + e); _EL_   } _EL_   return null; _EL_ } _EL_ 
Candidate (Original):
CodeID	IndexInDatabase	isCorrect	CandText
1	3841	False	draws a shadow around the given rectangle .
2	3842	False	returns true if all of the characters in the text are permitted for use in xml documents .
3	3843	False	interrupts the specified thread , guarding against null .
4	3844	False	overridden to avoid exposing implementation details .
5	3845	False	convenience method that creates a border layout container and places the given component in the east
6	3846	True	does an update and return the eventid generated .
7	3847	False	load a layout from a file .
8	3848	False	track the specified file , using the provided marker , deleting the file when the marker instance is garbage collected .
9	3849	False	evaluates the cf5 problem .
10	3850	False	converts all separators to the unix separator of forward slash .
11	3851	False	checks if the extension contains a parameter .

Results:
Org-Rank	Org-Score	Org-ID	Aug-Rank	Aug-Score	Aug-ID
1	8.357337654359947	4	1	8.694382776922044	9
2	8.422786054290729	9	2	8.720431628834213	4
3	8.803507555972285	11	3	9.081515025570495	11
4	8.945410770238238	3	4	9.214343259678081	3
5	8.970246052116508	1	5	9.406948484060646	6 (correct)
6	9.037686245525665	10	6	9.466622936391081	10
7	9.128483233210645	6 (correct)	7	9.49371634176721	1
8	9.239494748877549	2	8	9.510060411481764	2
9	9.327785446257897	7	9	9.692900372554087	7
10	9.582689298716339	8	10	9.897978730875918	8
11	12.731827887903128	5	11	13.029348208320794	5



# Step 1 (get nl-pl embbedding (like GraphCodeBERT) of query and candidates with dimensions = 768):
