This query existed in database! 
GraphCodeBERT+PropMiner won! (augment top-K vs original top-K: 2 vs 4)
Key: 3918
CacheID: 273
Query: public ExtendedTextLabel createExtended(Font font,CoreMetrics lm,Decoration decorator,int start,int limit){ _EL_   if (start >= limit || start < lineStart || limit > lineLimit) { _EL_     throw new IllegalArgumentException("bad start: " + start + " or limit: "+ limit); _EL_   } _EL_   int level=lineBidi == null ? 0 : lineBidi.getLevelAt(start - lineStart); _EL_   int linedir=(lineBidi == null || lineBidi.baseIsLeftToRight()) ? 0 : 1; _EL_   int layoutFlags=flags & ~0x9; _EL_   if ((level & 0x1) != 0)   layoutFlags|=1; _EL_   if ((linedir & 0x1) != 0)   layoutFlags|=8; _EL_   TextSource source=new StandardTextSource(text,start,limit - start,lineStart,lineLimit - lineStart,level,layoutFlags,font,frc,lm); _EL_   return new ExtendedTextSourceLabel(source,decorator); _EL_ } _EL_ 
Candidate (Original):
CodeID	IndexInDatabase	isCorrect	CandText
1	3913	False	returns the basic block indicated by this node .
2	3914	False	returns an array of types , where original types got substituted given a substitution .
3	3915	False	checks to see if the user is currently scrolling the menu .
4	3916	False	edge which leads to another non - accepting state .
5	3917	False	generates the instruction to push the given value on the stack .
6	3918	True	create an extended glyph array for the text between start and limit .
7	3919	False	pads the string at the right with the specified character until it reaches the desired length .
8	3920	False	ask whether we support a given dom feature .
9	3921	False	atomically removes all of the elements from this queue .
10	3922	False	reads the value of a string enclosed in single quotes , skipping over the quotes and any leading spaces .
11	3923	False	outputs the confusionmatrix as comma - separated values for easy import into spreadsheets

Results:
Org-Rank	Org-Score	Org-ID	Aug-Rank	Aug-Score	Aug-ID
1	7.915119264451037	1	1	8.859680761545286	1
2	8.105026304187335	11	2	9.059269232359147	6 (correct)
3	8.235441274299141	4	3	9.072056344016797	4
4	8.274206091887057	6 (correct)	4	9.072663031796814	11
5	8.36303633130797	3	5	9.218119981232173	7
6	8.378641248625527	10	6	9.265585144525868	10
7	8.395126736084043	7	7	9.3355093255984	5
8	8.529070304296019	5	8	9.342103237923405	3
9	8.736877584630829	9	9	9.695878677024837	8
10	8.921531153987857	8	10	9.76376583952458	9
11	9.16058489140186	2	11	10.062880558965876	2



# Step 1 (get nl-pl embbedding (like GraphCodeBERT) of query and candidates with dimensions = 768):
