This query existed in database! 
GraphCodeBERT+PropMiner draws GraphCodeBERT! (augment top-K vs original top-K: 4 vs 4)
Key: 1348
CacheID: 2230
Query: protected DateTimeData parse(String str) throws SchemaDateTimeException { _EL_   DateTimeData date=new DateTimeData(str,this); _EL_   int len=str.length(); _EL_   date.year=YEAR; _EL_   date.day=DAY; _EL_   if (str.charAt(0) != '-' || str.charAt(1) != '-') { _EL_     throw new SchemaDateTimeException("Invalid format for gMonth: " + str); _EL_   } _EL_   int stop=4; _EL_   date.month=parseInt(str,2,stop); _EL_   if (str.length() >= stop + 2 && str.charAt(stop) == '-' && str.charAt(stop + 1) == '-') { _EL_     stop+=2; _EL_   } _EL_   if (stop < len) { _EL_     if (!isNextCharUTCSign(str,stop,len)) { _EL_       throw new SchemaDateTimeException("Error in month parsing: " + str); _EL_     } _EL_  else { _EL_       getTimeZone(str,date,stop,len); _EL_     } _EL_   } _EL_   validateDateTime(date); _EL_   saveUnnormalized(date); _EL_   if (date.utc != 0 && date.utc != 'Z') { _EL_     normalize(date); _EL_   } _EL_   date.position=1; _EL_   return date; _EL_ } _EL_ 
Candidate (Original):
CodeID	IndexInDatabase	isCorrect	CandText
1	1343	False	adds to the result parameter all classes that aren ' t present in it
2	1344	False	resets the references for streaming .
3	1345	False	mpi encoded numbers are produced by the openssl bn _ bn2mpi function .
4	1346	False	this method will be invoked when a service ' s schema has been changed .
5	1347	False	given a vector of nodes , sort each node according to the criteria in the keys .
6	1348	True	parses , validates and computes normalized version of gmonth object
7	1349	False	move the messages to the queue
8	1350	False	parse a string into a dbid .
9	1351	False	prints a long followed by a newline .
10	1352	False	creates a new instance from a single thrift service interface .
11	1353	False	creates a raster with the same layout but using a different width and height , and with new zeroed data arrays .

Results:
Org-Rank	Org-Score	Org-ID	Aug-Rank	Aug-Score	Aug-ID
1	7.452526267086714	8	1	8.376494444540956	3
2	7.549792317376875	3	2	8.39990667649553	8
3	7.841439653946696	10	3	8.664820535358482	10
4	7.8627367242581565	6 (correct)	4	8.692432004522605	6 (correct)
5	8.021697690356694	2	5	8.779622324038355	2
6	8.021715747657614	11	6	8.862984106297684	11
7	8.153380383328622	9	7	8.956021014157958	9
8	8.431630995325756	4	8	9.149634756028817	4
9	8.722667274711537	5	9	9.565592654829102	5
10	9.472687293546425	7	10	10.173726709344699	7
11	10.912126271487175	1	11	11.502996213206597	1



# Step 1 (get nl-pl embbedding (like GraphCodeBERT) of query and candidates with dimensions = 768):
