This query existed in database! 
GraphCodeBERT+PropMiner won! (augment top-K vs original top-K: 1 vs 2)
Key: 1761
CacheID: 555
Query: public void makeGraph(File linkGraph) throws Exception { _EL_   String temp212; _EL_   int rowNum=0; _EL_   BufferedReader br=new BufferedReader(new InputStreamReader(new FileInputStream(linkGraph))); _EL_   while ((temp212=br.readLine()) != null) { _EL_     String[] strs=temp212.split(" "); _EL_     for (int i=0; i < strs.length; i++) { _EL_       graph[rowNum][i]=Double.parseDouble(strs[i]); _EL_     } _EL_     rowNum++; _EL_   } _EL_   for (int i=0; i < dataNum; i++) { _EL_     for (int j=0; j < dimension; j++) { _EL_       W[i][j]=r.nextDouble(); _EL_       H[j][i]=r.nextDouble(); _EL_     } _EL_   } _EL_   for (int i=0; i < dataNum; i++) { _EL_     double sumW=0; _EL_     double sumH=0; _EL_     for (int j=0; j < dimension; j++) { _EL_       sumW+=W[i][j] * W[i][j]; _EL_       sumH+=H[j][i] * H[j][i]; _EL_     } _EL_     sumW=Math.sqrt(sumW); _EL_     sumH=Math.sqrt(sumH); _EL_     for (int j=0; j < dimension; j++) { _EL_       W[i][j]/=sumW; _EL_       H[j][i]/=sumH; _EL_     } _EL_   } _EL_   trainW(); _EL_   init=false; _EL_ } _EL_ 
Candidate (Original):
CodeID	IndexInDatabase	isCorrect	CandText
1	1756	False	this ctor interprets the byte array as a sequence of characters to send .
2	1757	False	as of this writing , this is only used for testing if method order really doesn ' t mater .
3	1758	False	take a property list , defined in a single string , and return a properties object .
4	1759	False	determines whether the package in which t resides has a particular annotation .
5	1760	False	generates the tooltip shown when the cursor hovers over a tag tree node that represents a container of graph nodes .
6	1761	True	read in the normalized category file .
7	1762	False	remove item click listener from this view
8	1763	False	find a position that can be selected ( i . e . , is not a separator ) .
9	1764	False	pad a string on the right with spaces till it is at least the specified length .
10	1765	False	build the complete list of names for a collation matching rule .
11	1766	False	check whether the given class is cache - safe in the given context , i . e . whether it is loaded by the given classloader or a parent of it .

Results:
Org-Rank	Org-Score	Org-ID	Aug-Rank	Aug-Score	Aug-ID
1	7.487276353413699	1	1	9.726698235747467	6 (correct)
2	7.577244670806328	6 (correct)	2	9.7458367696554	1
3	7.708517136348297	3	3	9.806419525353467	10
4	7.8273331646685165	4	4	9.87465312299822	3
5	7.844850725560701	10	5	9.98054151494274	5
6	7.90480876974419	9	6	10.03625867054035	4
7	7.912206084418502	5	7	10.106296435496903	9
8	8.007488713088422	8	8	10.133202650801111	8
9	8.12181791414629	2	9	10.217350520882691	2
10	8.999536705230769	11	10	11.005921617076089	11
11	10.931878101066314	7	11	12.65876825049357	7



# Step 1 (get nl-pl embbedding (like GraphCodeBERT) of query and candidates with dimensions = 768):
