This query existed in database! 
GraphCodeBERT+PropMiner draws GraphCodeBERT! (augment top-K vs original top-K: 1 vs 1)
Key: 7084
CacheID: 6707
Query: public Object next(){ _EL_   if (pos < size)   return Array.get(array,pos++); _EL_   throw new NoSuchElementException("No more elements: " + pos + " / "+ size); _EL_ } _EL_ 
Candidate (Original):
CodeID	IndexInDatabase	isCorrect	CandText
1	7079	False	check that the vmidentifier includes a unique numerical identifier for the target jvm .
2	7080	False	stream will close after the already written bytes are read .
3	7081	False	adjusts the offset by the headersize , such that writing to a zero offset would not corrupt the header .
4	7082	False	an internal entity declaration .
5	7083	False	returns true if a given log record should be published .
6	7084	True	move to next element in the array .
7	7085	False	use it if you need to add a multiple messages
8	7086	False	called for the first denied permission if there is need to show the rational
9	7087	False	construct a new principal for the specified username and password , with the specified role names ( as strings ) .
10	7088	False	returns whether the specified object equals to this instance .
11	7089	False	simulates rolling a dice with 6 sides .

Results:
Org-Rank	Org-Score	Org-ID	Aug-Rank	Aug-Score	Aug-ID
1	6.824660290238797	6 (correct)	1	7.066447079036774	6 (correct)
2	6.865349962888405	7	2	7.138327388779552	2
3	6.938819540659615	2	3	7.1756686048071945	7
4	7.156814020230177	3	4	7.413905632613203	3
5	7.485259608142836	9	5	7.671843731894555	10
6	7.490502638207406	10	6	7.894292940585372	8
7	7.522789215319539	4	7	7.914462677602217	4
8	7.68140760042847	8	8	7.975653043145246	9
9	7.720887717364123	11	9	8.04572271772537	11
10	7.830135383414831	1	10	8.095361865916617	5
11	7.924715424164289	5	11	8.178513052135276	1



# Step 1 (get nl-pl embbedding (like GraphCodeBERT) of query and candidates with dimensions = 768):
