This query existed in database! 
GraphCodeBERT+PropMiner draws GraphCodeBERT! (augment top-K vs original top-K: 1 vs 1)
Key: 5196
CacheID: 5224
Query: public static BshClassManager createClassManager(Interpreter interpreter){ _EL_   BshClassManager manager; _EL_   if (Capabilities.classExists("java.lang.ref.WeakReference") && Capabilities.classExists("java.util.HashMap") && Capabilities.classExists("bsh.classpath.ClassManagerImpl"))   try { _EL_     Class clas=Class.forName("bsh.classpath.ClassManagerImpl"); _EL_     manager=(BshClassManager)clas.newInstance(); _EL_   } _EL_  catch (  Exception e) { _EL_     throw new InterpreterError("Error loading classmanager: " + e); _EL_   } _EL_  else   manager=new BshClassManager(); _EL_   if (interpreter == null)   interpreter=new Interpreter(); _EL_   manager.declaringInterpreter=interpreter; _EL_   return manager; _EL_ } _EL_ 
Candidate (Original):
CodeID	IndexInDatabase	isCorrect	CandText
1	5191	False	generates a vaguely human - readable format for a given socket identifier .
2	5192	False	tell if the table contains the given string .
3	5193	False	read contents of a file .
4	5194	False	converts a pixel ' s x coordinate into a horizontal tile index relative to a given tile grid layout specified by its x offset and tile width .
5	5195	False	creates a new input that can be added to a block .
6	5196	True	create a new instance of the class manager .
7	5197	False	display the current render surface .
8	5198	False	returns the last login time .
9	5199	False	creates and returns a stream of the words in the given text .
10	5200	False	add the supplied applicationinfo objects to the list , and enqueue it into the list to broadcast when notify ( ) is called .
11	5201	False	filter the matching objects for the one ( s ) whoose named field is equal to value .

Results:
Org-Rank	Org-Score	Org-ID	Aug-Rank	Aug-Score	Aug-ID
1	8.330371885541366	6 (correct)	1	8.435170204784303	6 (correct)
2	8.712558455093529	1	2	8.848845157928015	1
3	8.834128477584855	5	3	8.953647951643136	5
4	8.927635263954995	7	4	9.076575677662449	7
5	8.998164281606398	2	5	9.089125464578322	8
6	9.019492149357607	8	6	9.180821197459581	2
7	9.117752828097045	3	7	9.274273547764427	3
8	9.23972565060358	10	8	9.401047447203622	10
9	9.28560338686004	11	9	9.442413547503243	11
10	9.5209128652082	9	10	9.690333053186142	9
11	10.047938928620066	4	11	10.156734703979296	4



# Step 1 (get nl-pl embbedding (like GraphCodeBERT) of query and candidates with dimensions = 768):
