This query existed in database! 
GraphCodeBERT+PropMiner won! (augment top-K vs original top-K: 8 vs 9)
Key: 1993
CacheID: 589
Query: public void componentResized(ComponentEvent e){ _EL_   if (logger.isLoggable(Level.FINE)) { _EL_     logger.fine("Size changed: " + getWidth() + " x "+ getHeight()); _EL_   } _EL_   projection.setWidth(getWidth()); _EL_   projection.setHeight(getHeight()); _EL_   fireProjectionChanged(); _EL_ } _EL_ 
Candidate (Original):
CodeID	IndexInDatabase	isCorrect	CandText
1	1988	False	creates a new instance of the class represented by the given class object
2	1989	False	pops a type from the output frame stack .
3	1990	False	initiate a msrp session
4	1991	False	create a new forum post .
5	1992	False	draw a mark transforming co - ordinates to each axis
6	1993	True	componentlistener interface method .
7	1994	False	reforms the value change and informs the listeners .
8	1995	False	writes bytes to zip entry .
9	1996	False	update the gravity point only if a the gravity vector is longer than the threshold
10	1997	False	joins this task , without returning its result or throwing its exception .
11	1998	False	override method used to configure the horizontal drag .

Results:
Org-Rank	Org-Score	Org-ID	Aug-Rank	Aug-Score	Aug-ID
1	8.890194200898003	11	1	9.010811820801624	11
2	8.962577463985225	7	2	9.08242644034	7
3	9.486259504289457	4	3	9.579255451050466	10
4	9.486264788701662	10	4	9.595031895593653	8
5	9.528235157053267	3	5	9.666353912346423	4
6	9.528386690649826	8	6	9.67372030266382	2
7	9.604178587854133	2	7	9.723636393524133	3
8	10.1884988032528	5	8	10.269092398951104	6 (correct)
9	10.203599541008419	6 (correct)	9	10.387954207896604	5
10	10.507718207766667	1	10	10.671783959230341	1
11	11.081774711152283	9	11	11.201666059621951	9



# Step 1 (get nl-pl embbedding (like GraphCodeBERT) of query and candidates with dimensions = 768):
