This query existed in database! 
GraphCodeBERT+PropMiner won! (augment top-K vs original top-K: 7 vs 9)
Key: 6821
CacheID: 355
Query: public void addSelectionColumn(GridField mField){ _EL_   log.config(mField.getHeader()); _EL_   int displayLength=mField.getDisplayLength(); _EL_   if (displayLength <= 0 || displayLength > FIELDLENGTH)   mField.setDisplayLength(FIELDLENGTH); _EL_  else   displayLength=0; _EL_   WEditor editor=null; _EL_   Label label=null; _EL_   Row panel=new Row(); _EL_   contentSimpleRows.appendChild(panel); _EL_   if (mField.isRange()) { _EL_     Hbox box=new Hbox(); _EL_     editor=WebEditorFactory.getEditor(mField,false); _EL_     label=editor.getLabel(); _EL_     editor.setMandatory(false); _EL_     editor.setReadWrite(true); _EL_     editor.dynamicDisplay(); _EL_     Component fieldLabel=editor.getComponent(); _EL_     box.appendChild(editor.getComponent()); _EL_     rangeFirstEditor.add(mField.getColumnName()); _EL_     WEditor toRangeEditor=WebEditorFactory.getEditor(mField,false); _EL_     toRangeEditor.setMandatory(false); _EL_     toRangeEditor.setReadWrite(true); _EL_     toRangeEditor.dynamicDisplay(); _EL_     m_sEditors2.add(toRangeEditor); _EL_     Label separator=new Label(" - "); _EL_     box.appendChild(separator); _EL_     Component fieldLabel1=toRangeEditor.getComponent(); _EL_     box.appendChild(toRangeEditor.getComponent()); _EL_     if (displayLength > 0)     mField.setDisplayLength(displayLength); _EL_     if (isTwoColumns) { _EL_       if (!isPair)       panel=new Row(); _EL_     } _EL_  else     panel=new Row(); _EL_     panel.appendChild(LayoutUtils.makeRightAlign(label)); _EL_     panel.appendChild(box); _EL_     fieldLabel.addEventListener(Events.ON_OK,this); _EL_     fieldLabel1.addEventListener(Events.ON_OK,this); _EL_   } _EL_  else { _EL_     editor=WebEditorFactory.getEditor(mField,false); _EL_     label=editor.getLabel(); _EL_     editor.setMandatory(false); _EL_     editor.setReadWrite(true); _EL_     editor.dynamicDisplay(); _EL_     Component fieldLabel=editor.getComponent(); _EL_     if (displayLength > 0)     mField.setDisplayLength(displayLength); _EL_     panel.appendChild(LayoutUtils.makeRightAlign(label)); _EL_     panel.appendChild(fieldLabel); _EL_     fieldLabel.addEventListener(Events.ON_OK,this); _EL_     m_sEditors2.add(null); _EL_   } _EL_   m_sEditors.add(editor); _EL_ } _EL_ 
Candidate (Original):
CodeID	IndexInDatabase	isCorrect	CandText
1	6816	False	this method deserializes the supplied document .
2	6817	False	append given name / value pairs as query parameters to the base url the params argument is interpreted as a sequence of name / value pairs so the given number of params must be divisible by 2 .
3	6818	False	sends a message to the testrunneragent
4	6819	False	it will create the jms configurations
5	6820	False	returns the next revision .
6	6821	True	add selection column to first tab
