This query existed in database! 
Original GraphCodeBERT won! (augment top-K vs original top-K: 4 vs 3)
Key: 4707
CacheID: 7325
Query: public static void delete(Path path){ _EL_   if (path != null) { _EL_     path=path.toAbsolutePath(); _EL_     if (inTargetDir(path)) { _EL_       try { _EL_         IoUtil.delete(path); _EL_       } _EL_  catch (      IOException e) { _EL_         printError("Unable to remove '" + path.toAbsolutePath() + "'",e); _EL_       } _EL_     } _EL_  else { _EL_       printError("Will not remove directory that is outside test target area: " + path); _EL_     } _EL_   } _EL_ } _EL_ 
Candidate (Original):
CodeID	IndexInDatabase	isCorrect	CandText
1	4702	False	notify this object that it has been deregistered as a listener with a source for named event .
2	4703	False	the code that does the real work of lookup .
3	4704	False	returns true if the current instance of this task must be run after at least one task in the task manager queue .
4	4705	False	generate a uuid key string
5	4706	False	creates a new array that contains all the values of this vector in the appropriate indices
6	4707	True	a method that will delete a file or folder only if it is within the ' target ' directory ( for safety ) .
7	4708	False	parse the content of the given url as a provider - configuration file .
8	4709	False	initialize the pattern to match files .
9	4710	False	writes a string to a file .
10	4711	False	update the known attachment points .
11	4712	False	removes soft wraps with offsets equal or larger than a given offset from storage .

Results:
Org-Rank	Org-Score	Org-ID	Aug-Rank	Aug-Score	Aug-ID
1	8.479251969921496	8	1	8.777084324865468	9
2	8.49781301187169	9	2	8.893529343710464	8
3	8.892711694384753	6 (correct)	3	9.00409108566963	1
4	8.906311285687574	1	4	9.139738125064301	6 (correct)
5	9.10646894857597	2	5	9.33871814802574	2
6	9.151361022664783	7	6	9.401075986197515	11
7	9.227513366366217	11	7	9.54764055359507	10
8	9.44611067285689	10	8	9.57221898957923	7
9	9.713381121868666	3	9	9.841059593293535	3
10	9.733969774475653	4	10	10.150688501719447	4
11	12.186081979821495	5	11	12.318220301464804	5



# Step 1 (get nl-pl embbedding (like GraphCodeBERT) of query and candidates with dimensions = 768):
