This query existed in database! 
GraphCodeBERT+PropMiner draws GraphCodeBERT! (augment top-K vs original top-K: 3 vs 3)
Key: 4541
CacheID: 4706
Query: boolean destroyVolume(boolean force){ _EL_   NaElement elem=new NaElement("volume-destroy"); _EL_   elem.addNewChild("force",Boolean.toString(force)); _EL_   elem.addNewChild("name",name); _EL_   try { _EL_     server.invokeElem(elem); _EL_     return true; _EL_   } _EL_  catch (  Exception e) { _EL_     String msg="Failed to destroy volume: " + name; _EL_     log.error(msg,e); _EL_     throw new NetAppException(msg,e); _EL_   } _EL_ } _EL_ 
Candidate (Original):
CodeID	IndexInDatabase	isCorrect	CandText
1	4536	False	returns the new type node corresponding to the type of the given declaration including the extra dimensions .
2	4537	False	closes the cache and deletes all of its stored values .
3	4538	False	checks iterators are cleared .
4	4539	False	adds a listener for all of this controller ' s lifecycle events
5	4540	False	returns paths list index of given path or - 1 if not found .
6	4541	True	destroys a volume , releasing all storage blocks assigned to it .
7	4542	False	computes a set of curves using the cardinal spline approach , but using straight lines for completely horizontal or vertical segments .
8	4543	False	checks if the app should be scaled in / out according to cooldown settings
9	4544	False	takes an int which is supposed to be in megabytes and converts it to a long .
10	4545	False	generate a unique name for the zoneset clone .
11	4546	False	constructs a sql statement template later used for prepared statement .

Results:
Org-Rank	Org-Score	Org-ID	Aug-Rank	Aug-Score	Aug-ID
1	8.66196249885611	11	1	8.82262338922205	11
2	8.700534820308325	5	2	8.870809174340387	5
3	8.72668848801772	6 (correct)	3	8.87440808297961	6 (correct)
4	8.82759320474848	10	4	8.88688737237152	10
5	8.939715920191656	1	5	9.097045496766526	1
6	9.035095315774061	7	6	9.199851091708288	7
7	9.048271147643321	2	7	9.200908733534131	2
8	9.508063304754947	9	8	9.602975688248796	9
9	9.509648846672462	3	9	9.683818781111764	8
10	9.601151602396769	8	10	9.70603993383892	3
11	9.987531915994099	4	11	10.095776876945873	4



# Step 1 (get nl-pl embbedding (like GraphCodeBERT) of query and candidates with dimensions = 768):
