This query existed in database! 
Original GraphCodeBERT won! (augment top-K vs original top-K: 2 vs 1)
Key: 6955
CacheID: 7436
Query: public void writeFile(String name,String mimeType,String fileName,byte[] data) throws IOException { _EL_   if (data == null) { _EL_     throw new IllegalArgumentException("Data cannot be null."); _EL_   } _EL_   if (fileName == null || fileName.isEmpty()) { _EL_     throw new IllegalArgumentException("File name cannot be null or empty."); _EL_   } _EL_   out.writeBytes(PREFIX); _EL_   out.writeBytes(boundary); _EL_   out.writeBytes(NEWLINE); _EL_   out.writeBytes("Content-Disposition: form-data; name=\"" + name + "\"; filename=\""+ fileName+ "\""); _EL_   out.writeBytes(NEWLINE); _EL_   if (mimeType != null) { _EL_     out.writeBytes("Content-Type: " + mimeType); _EL_     out.writeBytes(NEWLINE); _EL_   } _EL_   out.writeBytes(NEWLINE); _EL_   out.write(data,0,data.length); _EL_   out.writeBytes(NEWLINE); _EL_   out.flush(); _EL_ } _EL_ 
Candidate (Original):
CodeID	IndexInDatabase	isCorrect	CandText
1	6950	False	returns the hashcode for the raw string .
2	6951	False	applies max norm to the histogram .
3	6952	False	writes the given message to the specified file .
4	6953	False	returns the hash code for this imagetypespecifier .
5	6954	False	returns a random number between start ( inclusive ) and end ( inclusive ) .
6	6955	True	writes the given bytes .
7	6956	False	handles updating the system locale .
8	6957	False	retrieve an keymap instance by its key .
9	6958	False	tells if a offset or time zone is gmt .
10	6959	False	transforms a string that represents a uri into something more proper , by adding or canonicalizing the protocol .
11	6960	False	removes the mapping from the specified key , if there was any .

Results:
Org-Rank	Org-Score	Org-ID	Aug-Rank	Aug-Score	Aug-ID
1	8.486375758354383	6 (correct)	1	9.076534779657072	3
2	8.492487863967291	3	2	9.304830559202815	6 (correct)
3	8.673384235537778	1	3	9.32320182244239	7
4	8.70004282456277	4	4	9.356313943609578	10
5	8.788538863116221	10	5	9.508216307137872	1
6	8.79748287205397	7	6	9.529515468887661	8
7	8.858245275474244	8	7	9.741958102878394	4
8	9.063053784914331	5	8	9.916916096474084	2
9	9.155706912088075	2	9	9.91701341539883	5
10	9.304066507091179	11	10	10.01441705426537	11
11	9.62351787327798	9	11	10.442447863562112	9



# Step 1 (get nl-pl embbedding (like GraphCodeBERT) of query and candidates with dimensions = 768):
