This query existed in database! 
Original GraphCodeBERT won! (augment top-K vs original top-K: 4 vs 3)
Key: 6112
CacheID: 7397
Query: public static String removeSpecialChar(String tempStr){ _EL_   if (tempStr != null) { _EL_     tempStr=replace(tempStr,",","",true,true); _EL_     tempStr=replace(tempStr,".","",true,true); _EL_     tempStr=replace(tempStr,"!","",true,true); _EL_     tempStr=replace(tempStr,"?","",true,true); _EL_     tempStr=replace(tempStr,"'","",true,true); _EL_     tempStr=replace(tempStr,":","",true,true); _EL_     tempStr=replace(tempStr,"(","",true,true); _EL_     tempStr=replace(tempStr,")","",true,true); _EL_     tempStr=replace(tempStr,"+","",true,true); _EL_     tempStr=replace(tempStr,"-","",true,true); _EL_     tempStr=replace(tempStr,">","",true,true); _EL_     tempStr=replace(tempStr,"<","",true,true); _EL_     tempStr=replace(tempStr,"/","",true,true); _EL_     while (tempStr.indexOf("  ") > 0) { _EL_       tempStr=replace(tempStr,"  "," ",true,true); _EL_     } _EL_     tempStr=replace(tempStr,"	"," ",true,true); _EL_   } _EL_   return tempStr; _EL_ } _EL_ 
Candidate (Original):
CodeID	IndexInDatabase	isCorrect	CandText
1	6107	False	removes the given property from being animated as a part of this propertybundle .
2	6108	False	deserializes a serialized typeserializer
3	6109	False	creates and displays the neuron properties dialog .
4	6110	False	perform pseudo " in - place " encryption
5	6111	False	check if one of the children is changed
6	6112	True	for some save scnearios and analysis we should remove special characters , i . e . html
7	6113	False	create a new script action for the workspace .
8	6114	False	load the webview with an image with a url .
9	6115	False	constructs a list of receipts for each installment .
10	6116	False	checks if the input parameter is a valid email .
11	6117	False	adds a directed edge which is known to form part of this line .

Results:
Org-Rank	Org-Score	Org-ID	Aug-Rank	Aug-Score	Aug-ID
1	8.026570627453825	5	1	8.338144827652897	4
2	8.220342605032295	2	2	8.36562925264994	5
3	8.23913872004463	6 (correct)	3	8.436274285550288	2
4	8.244899757175114	4	4	8.44094338727537	6 (correct)
5	8.260786597745673	9	5	8.453586164753512	9
6	8.559193614767189	8	6	8.72406960059916	8
7	8.56398144720847	1	7	8.725937474428454	1
8	8.590639751862541	7	8	8.764627247910857	7
9	8.606116139468279	10	9	8.770208481917022	10
10	8.823985005115182	3	10	9.088169271604068	3
11	9.232940438844045	11	11	9.450438440573544	11



# Step 1 (get nl-pl embbedding (like GraphCodeBERT) of query and candidates with dimensions = 768):
