This query existed in database! 
GraphCodeBERT+PropMiner draws GraphCodeBERT! (augment top-K vs original top-K: 1 vs 1)
Key: 6181
CacheID: 6008
Query: protected void doPublish(String tenantId,List<T> items,String subscriber,int retryCount,long delay) throws Exception { _EL_   String data=mapper.writeValueAsString(items); _EL_   TextMessage tm=session.createTextMessage(data); _EL_   if (tenantId != null) { _EL_     tm.setStringProperty("tenant",tenantId); _EL_   } _EL_   if (subscriber != null) { _EL_     tm.setStringProperty("subscriber",subscriber); _EL_   } _EL_   tm.setIntProperty("retryCount",retryCount); _EL_   if (delay > 0) { _EL_     tm.setLongProperty("_AMQ_SCHED_DELIVERY",System.currentTimeMillis() + delay); _EL_   } _EL_   if (log.isLoggable(Level.FINEST)) { _EL_     log.finest("Publish: " + tm); _EL_   } _EL_   producer.send(tm); _EL_ } _EL_ 
Candidate (Original):
CodeID	IndexInDatabase	isCorrect	CandText
1	6176	False	convenience method to return only the digits and plus signs in the matching string .
2	6177	False	package private helper method for descriptor . equals methods .
3	6178	False	returns the first markersegment object in the list with the given tag , or null if none is found .
4	6179	False	open the input using the " from " parameter , exiting on failure .
5	6180	False	returns a new instance which has the additional first source to be concatenated together with the current array of sources .
6	6181	True	this method publishes the supplied items .
7	6182	False	verify the valid class use for construction .
8	6183	False	create the extension from the passed der encoded value .
9	6184	False	generates bimonthly periods for the whole year in which the start date of the given period exists .
10	6185	False	generates a random aes key for encrypting / decrypting the turnover value attention : in a real cash box this key would be generated during the init process and stored in a secure area
11	6186	False	vetoable change listener .

Results:
Org-Rank	Org-Score	Org-ID	Aug-Rank	Aug-Score	Aug-ID
1	6.942369413179634	6 (correct)	1	8.55612105586696	6 (correct)
2	7.286990329834024	7	2	8.666736833638401	2
3	7.3909425567293585	2	3	8.844644081310825	7
4	7.6021592164075	1	4	8.910558511104542	1
5	7.626938250801489	5	5	8.923997442113745	4
6	7.772299194826464	4	6	9.132634765436244	5
7	7.942203511484653	9	7	9.35523261248685	9
8	7.993728223473806	11	8	9.376512339766906	8
9	8.174536397771782	8	9	9.616854741770947	10
10	8.404701216288508	10	10	9.677185223375542	11
11	9.052328215531317	3	11	10.302141645838324	3



# Step 1 (get nl-pl embbedding (like GraphCodeBERT) of query and candidates with dimensions = 768):
