This query existed in database! 
GraphCodeBERT+PropMiner draws GraphCodeBERT! (augment top-K vs original top-K: 1 vs 1)
Key: 1615
CacheID: 2443
Query: public static List seriesNameListFromDataArray(Object[][] data){ _EL_   int seriesCount=data.length; _EL_   List seriesNameList=new java.util.ArrayList(seriesCount); _EL_   for (int i=0; i < seriesCount; i++) { _EL_     seriesNameList.add("Series " + (i + 1)); _EL_   } _EL_   return seriesNameList; _EL_ } _EL_ 
Candidate (Original):
CodeID	IndexInDatabase	isCorrect	CandText
1	1610	False	start scrolling based on a fling gesture .
2	1611	False	unpacks the compressed character translation table .
3	1612	False	add listener to listener list
4	1613	False	below method will be used to close streams
5	1614	False	return the patience , i . e . , the penalization of having a number of items with the same feature in a recommendation list of a given size .
6	1615	True	utility method for automatically generating series names .
7	1616	False	reads characters into a portion of an array .
8	1617	False	evaluates the cf6 problem .
9	1618	False	send a fatal error log message
10	1619	False	returns the number string list of the given string starting at the given index .
11	1620	False	equals ( ) with two strings where either could be null

Results:
Org-Rank	Org-Score	Org-ID	Aug-Rank	Aug-Score	Aug-ID
1	7.3103331178592095	6 (correct)	1	7.601713784247742	6 (correct)
2	7.877191162602142	10	2	8.087538808023425	10
3	7.951383214027327	8	3	8.145229406965768	8
4	8.003909252582876	7	4	8.233917881851685	7
5	8.042565358025737	4	5	8.242724467025067	4
6	8.603574709660954	2	6	8.732196861497023	2
7	8.908050190287646	3	7	9.150232712294313	5
8	8.975108303592418	5	8	9.158963602010566	3
9	9.011945546997698	1	9	9.204655334540691	1
10	9.029744030494912	9	10	9.210763892325293	9
11	9.83360858957856	11	11	10.088996664190844	11



# Step 1 (get nl-pl embbedding (like GraphCodeBERT) of query and candidates with dimensions = 768):
