This query existed in database! 
GraphCodeBERT+PropMiner won! (augment top-K vs original top-K: 4 vs 6)
Key: 3680
CacheID: 264
Query: public Key(byte[] hash){ _EL_   if (hash.length != SHA1_HASH_LENGTH) { _EL_     throw new IllegalArgumentException("Invalid Hash must be 20bytes, was: " + hash.length); _EL_   } _EL_   System.arraycopy(hash,0,this.hash,0,SHA1_HASH_LENGTH); _EL_ } _EL_ 
Candidate (Original):
CodeID	IndexInDatabase	isCorrect	CandText
1	3675	False	clear this sensor selection model .
2	3676	False	returns an array allocated in an area of the java heap where it will never be moved .
3	3677	False	loads and parses a thrift file and all files included ( both directly and transitively ) by it .
4	3678	False	assure that proxy is in a stable status .
5	3679	False	this adds a message object to the internal message cache .
6	3680	True	creates a key with this hash
7	3681	False	concatenates a list of int arrays into a single array .
8	3682	False	makes comparision of way with osmway tags and newtag with newvalue and compares forward and backward permissions with expected permissions copy of osmway is made since otherwise tags would be changed
9	3683	False	sets the values to ui model .
10	3684	False	read a byte array .
11	3685	False	tip text suitable for displaying int the gui

Results:
Org-Rank	Org-Score	Org-ID	Aug-Rank	Aug-Score	Aug-ID
1	7.698804456633916	5	1	7.792833422229465	5
2	7.882344902727962	2	2	8.02136361675033	2
3	8.045211531041362	9	3	8.154390731478243	9
4	8.084924192899512	7	4	8.310011982513036	6 (correct)
5	8.177421078903858	4	5	8.339909843395494	4
6	8.225791613260446	6 (correct)	6	8.37074313970657	11
7	8.264116243901212	11	7	8.424839932934114	7
8	8.481049400210484	1	8	8.54646789900129	1
9	8.711266352311734	3	9	8.992149601674722	3
10	8.973083761289104	8	10	9.174027955052566	8
11	9.213018556614237	10	11	9.334737022975132	10



# Step 1 (get nl-pl embbedding (like GraphCodeBERT) of query and candidates with dimensions = 768):
