This query existed in database! 
Original GraphCodeBERT won! (augment top-K vs original top-K: 6 vs 3)
Key: 148
CacheID: 7543
Query: private void updateVolumeLabels(Volume trustedSrc,Volume invalidTgt){ _EL_   VirtualArray invalidTgtVA=dbClient.queryObject(VirtualArray.class,invalidTgt.getVirtualArray()); _EL_   StringBuilder newLabel=new StringBuilder(); _EL_   newLabel.append(trustedSrc.getLabel()); _EL_   newLabel.append("-target-"); _EL_   newLabel.append(invalidTgtVA.getLabel()); _EL_   log.info("Revised name for target: " + newLabel.toString()); _EL_   invalidTgt.setLabel(newLabel.toString()); _EL_   NamedURI projectURI=invalidTgt.getProject(); _EL_   projectURI.setName(newLabel.toString()); _EL_   invalidTgt.setProject(projectURI); _EL_   NamedURI tenantURI=invalidTgt.getTenant(); _EL_   tenantURI.setName(newLabel.toString()); _EL_   invalidTgt.setTenant(tenantURI); _EL_   Volume tgtVplexVolume=VPlexSrdfUtil.getVplexVolumeFromSrdfVolume(dbClient,invalidTgt); _EL_   if (tgtVplexVolume != null) { _EL_     Volume srcVplexVolume=VPlexSrdfUtil.getVplexVolumeFromSrdfVolume(dbClient,trustedSrc); _EL_     if (srcVplexVolume != null) { _EL_       newLabel.setLength(0); _EL_       newLabel.append(srcVplexVolume.getLabel()); _EL_       newLabel.append("-target-"); _EL_       newLabel.append(invalidTgtVA.getLabel()); _EL_       log.info("Revised name for VPlex target: " + newLabel.toString()); _EL_       tgtVplexVolume.setLabel(newLabel.toString()); _EL_       projectURI=tgtVplexVolume.getProject(); _EL_       projectURI.setName(newLabel.toString()); _EL_       tgtVplexVolume.setProject(projectURI); _EL_       tenantURI=tgtVplexVolume.getTenant(); _EL_       tenantURI.setName(newLabel.toString()); _EL_       tgtVplexVolume.setTenant(tenantURI); _EL_       dbClient.updateAndReindexObject(tgtVplexVolume); _EL_     } _EL_   } _EL_ } _EL_ 
Candidate (Original):
CodeID	IndexInDatabase	isCorrect	CandText
1	143	False	parse the file to string with the json
2	144	False	find the differences between two texts .
3	145	False	construct a new repository with the given default domain .
4	146	False	returns the number of unprocessed tokens remaining in the string .
5	147	False	reset all common components before parsing
6	148	True	updates the label field of the invalidtgt , and if the volume is fronted by a vplex volume , also updates the target vplex volume label .
7	149	False	shows the given errors to the user .
8	150	False	handle serialization a little bit better , replacing the i18n and beancontextchildsupport .
9	151	False	paint the arrow in enabled state .
10	152	False	logs a thrown exception .
11	153	False	called when the accuracy of the sensor has changed .

Results:
Org-Rank	Org-Score	Org-ID	Aug-Rank	Aug-Score	Aug-ID
1	7.482854720120018	11	1	7.800208193194038	11
2	7.565709294778644	3	2	7.810528010329664	9
3	7.570939580713353	6 (correct)	3	7.887396852169131	7
4	7.572208686870662	4	4	7.998705801840595	3
5	7.5845054251917965	7	5	8.031223887961893	10
6	7.590440353786985	2	6	8.031819461214278	6 (correct)
7	7.596531765317877	9	7	8.164640287796132	4
8	7.746542226154801	10	8	8.214987477231645	2
9	7.936437195917481	8	9	8.294438334916322	8
10	8.076709982481065	5	10	8.501792985133957	5
11	8.282795271969732	1	11	8.931129080448219	1



