This query existed in database! 
GraphCodeBERT+PropMiner won! (augment top-K vs original top-K: 3 vs 4)
Key: 4711
CacheID: 895
Query: protected boolean updateAttachmentPoint(){ _EL_   boolean moved=false; _EL_   this.oldAPs=attachmentPoints; _EL_   if (attachmentPoints == null || attachmentPoints.isEmpty())   return false; _EL_   List<AttachmentPoint> apList=new ArrayList<AttachmentPoint>(); _EL_   if (attachmentPoints != null)   apList.addAll(attachmentPoints); _EL_   Map<Long,AttachmentPoint> newMap=getAPMap(apList); _EL_   if (newMap == null || newMap.size() != apList.size()) { _EL_     moved=true; _EL_   } _EL_   if (moved) { _EL_     log.info("updateAttachmentPoint: ap {}  newmap {} ",attachmentPoints,newMap); _EL_     List<AttachmentPoint> newAPList=new ArrayList<AttachmentPoint>(); _EL_     if (newMap != null)     newAPList.addAll(newMap.values()); _EL_     this.attachmentPoints=newAPList; _EL_   } _EL_   return moved; _EL_ } _EL_ 
Candidate (Original):
CodeID	IndexInDatabase	isCorrect	CandText
1	4706	False	creates a new array that contains all the values of this vector in the appropriate indices
2	4707	False	a method that will delete a file or folder only if it is within the ' target ' directory ( for safety ) .
3	4708	False	parse the content of the given url as a provider - configuration file .
4	4709	False	initialize the pattern to match files .
5	4710	False	writes a string to a file .
6	4711	True	update the known attachment points .
7	4712	False	removes soft wraps with offsets equal or larger than a given offset from storage .
8	4713	False	formats given dps ( = damage per second ) to a readable string .
9	4714	False	sets the maximum length of the string .
10	4715	False	answers a sortedset of the specified portion of this treeset which contains elements greater or equal to the start element but less than the end element .
11	4716	False	method that checks if a legion is disbanding

Results:
Org-Rank	Org-Score	Org-ID	Aug-Rank	Aug-Score	Aug-ID
1	7.837350672570397	7	1	9.582325297973634	4
2	7.896400399696839	4	2	9.682212517209932	7
3	7.925301045158979	5	3	9.778582046480006	6 (correct)
4	7.92820169847239	6 (correct)	4	10.041065581123313	5
5	8.383116099750836	3	5	10.13555746213455	8
6	8.4239007462225	8	6	10.254526614022778	3
7	8.834501965327584	2	7	10.436118617682032	9
8	8.901142469267008	9	8	10.488217679900849	2
9	9.011481009925761	10	9	10.530625234137114	10
10	9.386977942484645	11	10	10.88538219952049	11
11	11.248371727164788	1	11	12.438098592038653	1



# Step 1 (get nl-pl embbedding (like GraphCodeBERT) of query and candidates with dimensions = 768):
