This query existed in database! 
Original GraphCodeBERT won! (augment top-K vs original top-K: 6 vs 5)
Key: 4414
CacheID: 7312
Query: static void checkTypeRefAndPath(int typeRef,TypePath typePath){ _EL_   int mask=0; _EL_ switch (typeRef >>> 24) { _EL_ case TypeReference.CLASS_TYPE_PARAMETER: _EL_ case TypeReference.METHOD_TYPE_PARAMETER: _EL_ case TypeReference.METHOD_FORMAL_PARAMETER: _EL_     mask=0xFFFF0000; _EL_   break; _EL_ case TypeReference.FIELD: _EL_ case TypeReference.METHOD_RETURN: _EL_ case TypeReference.METHOD_RECEIVER: _EL_ case TypeReference.LOCAL_VARIABLE: _EL_ case TypeReference.RESOURCE_VARIABLE: _EL_ case TypeReference.INSTANCEOF: _EL_ case TypeReference.NEW: _EL_ case TypeReference.CONSTRUCTOR_REFERENCE: _EL_ case TypeReference.METHOD_REFERENCE: _EL_ mask=0xFF000000; _EL_ break; _EL_ case TypeReference.CLASS_EXTENDS: _EL_ case TypeReference.CLASS_TYPE_PARAMETER_BOUND: _EL_ case TypeReference.METHOD_TYPE_PARAMETER_BOUND: _EL_ case TypeReference.THROWS: _EL_ case TypeReference.EXCEPTION_PARAMETER: _EL_ mask=0xFFFFFF00; _EL_ break; _EL_ case TypeReference.CAST: _EL_ case TypeReference.CONSTRUCTOR_INVOCATION_TYPE_ARGUMENT: _EL_ case TypeReference.METHOD_INVOCATION_TYPE_ARGUMENT: _EL_ case TypeReference.CONSTRUCTOR_REFERENCE_TYPE_ARGUMENT: _EL_ case TypeReference.METHOD_REFERENCE_TYPE_ARGUMENT: _EL_ mask=0xFF0000FF; _EL_ break; _EL_ default : _EL_ throw new IllegalArgumentException("Invalid type reference sort 0x" + Integer.toHexString(typeRef >>> 24)); _EL_ } _EL_ if ((typeRef & ~mask) != 0) { _EL_ throw new IllegalArgumentException("Invalid type reference 0x" + Integer.toHexString(typeRef)); _EL_ } _EL_ if (typePath != null) { _EL_ for (int i=0; i < typePath.getLength(); ++i) { _EL_ int step=typePath.getStep(i); _EL_ if (step != TypePath.ARRAY_ELEMENT && step != TypePath.INNER_TYPE && step != TypePath.TYPE_ARGUMENT && step != TypePath.WILDCARD_BOUND) { _EL_ throw new IllegalArgumentException("Invalid type path step " + i + " in "+ typePath); _EL_ } _EL_ if (step != TypePath.TYPE_ARGUMENT && typePath.getStepArgument(i) != 0) { _EL_ throw new IllegalArgumentException("Invalid type path step argument for step " + i + " in "+ typePath); _EL_ } _EL_ } _EL_ } _EL_ } _EL_ 
Candidate (Original):
CodeID	IndexInDatabase	isCorrect	CandText
1	4409	False	creates the sub - components of the panel .
2	4410	False	generates a random float between two limits .
3	4411	False	this constructs an instance .
4	4412	False	perform a knn search on the kd - tree .
5	4413	False	connects to the broker
6	4414	True	checks the reference to a type in a type annotation .
7	4415	False	add a new tracer .
8	4416	False	expands capacity of internal arrays .
9	4417	False	damage component by given value .
10	4418	False	constructs an empty graph
11	4419	False	separates apiversion for apigroup / apiversion combination .

Results:
Org-Rank	Org-Score	Org-ID	Aug-Rank	Aug-Score	Aug-ID
1	9.634051478172445	3	1	12.357854229181394	3
2	9.764277569423783	8	2	12.44944676555485	8
3	9.9179267633821	10	3	12.586561942516381	10
4	10.032266966840773	2	4	12.666967279561408	2
5	10.033777289740136	6 (correct)	5	12.682107365606363	7
6	10.079403683506284	7	6	12.731604843551343	6 (correct)
7	10.209939173279379	11	7	12.774163752616772	1
8	10.226118661863199	9	8	12.775223382584421	9
9	10.251925862047369	1	9	12.858593825012923	4
10	10.34509325831983	4	10	12.985550474586503	11
11	10.887365696022048	5	11	13.286736516657683	5



# Step 1 (get nl-pl embbedding (like GraphCodeBERT) of query and candidates with dimensions = 768):
