This query existed in database! 
GraphCodeBERT+PropMiner draws GraphCodeBERT! (augment top-K vs original top-K: 1 vs 1)
Key: 708
CacheID: 1737
Query: boolean checkToken(ByteWrapper token,Key nodeId,InetAddress ip,int port,Key lookupKey){ _EL_   updateTokenTimestamps(); _EL_   boolean valid=checkToken(token,nodeId,ip,port,lookupKey,timestampCurrent.get()) || checkToken(token,nodeId,ip,port,lookupKey,timestampPrevious); _EL_   if (!valid)   DHT.logDebug("Received Invalid token from " + ip.getHostAddress()); _EL_   return valid; _EL_ } _EL_ 
Candidate (Original):
CodeID	IndexInDatabase	isCorrect	CandText
1	703	False	fully construct an arbitrary length path node with all required annotations .
2	704	False	adds wheel changing listener
3	705	False	read a % yaml directive number : this is either the major or the minor part .
4	706	False	tobitstring - returns a string representation of i [ ] .
5	707	False	converts the float samples in a complex buffer to a little endian 16 - bit buffer
6	708	True	check if a received token is ok .
7	709	False	util method to write an attribute without the ns prefix
8	710	False	expands all paths in the tree .
9	711	False	describe the vocabularies which are in use in the kb based on the predicate partition statistics .
10	712	False	generates an x - values array filled with numbers in range specified by the parameters .
11	713	False	put the service under the given attribute value for the given defining class and field , if it isn ' t already there .

Results:
Org-Rank	Org-Score	Org-ID	Aug-Rank	Aug-Score	Aug-ID
1	8.032352928768976	6 (correct)	1	8.949138492309297	6 (correct)
2	8.24524513314972	4	2	9.2049289024135	4
3	8.564224427178825	9	3	9.35672818721421	10
4	8.71596685310282	10	4	9.455017524876098	9
5	8.792565102238981	8	5	9.689162772145117	3
6	8.914852575704929	1	6	9.73342417135724	1
7	8.98782146884703	3	7	9.736782914303562	8
8	9.085175233584977	11	8	9.81873572315526	11
9	9.207592419006053	2	9	9.97838302011225	2
10	9.407545751670291	7	10	10.166892961820386	7
11	9.593056589873633	5	11	10.194440118397747	5



# Step 1 (get nl-pl embbedding (like GraphCodeBERT) of query and candidates with dimensions = 768):
